SKU,List price,Selling price,Purchase price,US Price Tier 1 - 0 pc,US Price Tier 2 - 10 pc,US Price Tier 3 - 20 pc,US Price Tier 4 - 50 pc,US Price Tier 5 - 100 pc,UK Price Tier 1 - 0 pc,UK Price Tier 2 - 10 pc,UK Price Tier 3 - 20 pc,UK Price Tier 4 - 50 pc,UK Price Tier 5 - 100 pc,FR Price Tier 1 - 0 pc,FR Price Tier 2 - 10 pc,FR Price Tier 3 - 20 pc,FR Price Tier 4 - 50 pc,FR Price Tier 5 - 100 pc,DE Price Tier 1 - 0 pc,DE Price Tier 2 - 10 pc,DE Price Tier 3 - 20 pc,DE Price Tier 4 - 50 pc,DE Price Tier 5 - 100 pc
203996,31.44,31.44,23.58,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63
203997,31.44,31.44,23.58,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63
203998,31.44,31.44,23.58,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63
203999,31.44,31.44,23.58,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63
204000,31.44,31.44,23.58,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63
204001,31.44,31.44,23.58,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63,31.44,28.30,25.47,22.92,20.63
31000000,17.27,11.57,6.91,11.57,10.41,9.37,8.43,7.59,11.57,10.41,9.37,8.43,7.59,11.57,10.41,9.37,8.43,7.59,11.57,10.41,9.37,8.43,7.59
601824800,199.00,128.00,96.00,128.00,115.20,103.68,93.31,83.98,128.00,115.20,103.68,93.31,83.98,128.00,115.20,103.68,93.31,83.98,128.00,115.20,103.68,93.31,83.98
601394000,89.00,58.00,43.50,58.00,52.20,46.98,42.28,38.05,58.00,52.20,46.98,42.28,38.05,58.00,52.20,46.98,42.28,38.05,58.00,52.20,46.98,42.28,38.05
601828800,159.00,96.00,72.00,96.00,86.40,77.76,69.98,62.99,96.00,86.40,77.76,69.98,62.99,96.00,86.40,77.76,69.98,62.99,96.00,86.40,77.76,69.98,62.99
601828800-M,477.00,288.00,216.00,288.00,259.20,233.28,209.95,188.96,288.00,259.20,233.28,209.95,188.96,288.00,259.20,233.28,209.95,188.96,288.00,259.20,233.28,209.95,188.96
