Product type,Product template,Brand,Parent ID,Bundled products,Sku ID,Name product EN,Description product EN,Name product DE,Description product DE,Name product FR,Description product FR,Name product AR,Description product AR,EAN,Pricing Measure value,Pricing Measure Unit Code,In Stock,Weight Kg PS,Depth mm,Width mm,Height mm,Weight Kg product,Image 1,Image 2,Image 3,PDF data sheet,Link video YouTube,Pipe cutter dimensions,T-shirt size,Number of cutting wheels,Dimension,External hex,Wrench dimension,Shoes size,Inhex,Head screw size,Customs codes,Country of origin,Lithium battery,Minimum purchase to the supplier,Pieces per pack,Number of packs,Total pieces,Blades,Stock US,Stock UK,Stock FR,Stock DE,Tax GB,Tax US,Tax FR,Tax DE,Tax IT,PowerZone mixins
PARENT_VARIANT,T-shirt,Festool,,,20399x,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",20399x,1,pc,TRUE,0.4746,350,270,20,0.264,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,"S,M,L,XL,XXL,XXXL",,,,,,,,4014549320037,BD,,1,1,1,1,,380,380,380,380,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
VARIANT,,Festool,20399x,,203996,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",4014549320037,1,pc,TRUE,0.4746,350,270,20,0.264,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,S,,,,,,,,4014549320037,BD,,1,1,1,1,,335,335,335,335,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
VARIANT,,Festool,20399x,,203997,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",4014549320044,1,pc,TRUE,0.4746,350,270,20,0.273,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,M,,,,,,,,4014549320044,BD,,1,1,1,1,,252,252,252,252,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
VARIANT,,Festool,20399x,,203998,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",4014549320068,1,pc,TRUE,0.4746,350,270,20,0.323,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,L,,,,,,,,4014549320068,BD,,1,1,1,1,,193,193,193,193,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
VARIANT,,Festool,20399x,,203999,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",4014549320075,1,pc,TRUE,0.4746,350,270,20,0.318,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,XL,,,,,,,,4014549320075,BD,,1,1,1,1,,331,331,331,331,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
VARIANT,,Festool,20399x,,204000,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",4014549320082,1,pc,TRUE,0.4746,350,270,20,0.349,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,XXL,,,,,,,,4014549320082,BD,,1,1,1,1,,400,400,400,400,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
VARIANT,,Festool,20399x,,204001,"Polo-Shirt, dark blue","Classic polo shirt for men in a modern style.
Colour: Dark blue with accent colour on the inside collar welt and green accents.
High-quality logo print on the shoulder and on the sleeve.
Material: 97% combed cotton, 3% elastane, baby pique, approx. 250 g/m².
Modern slightly waisted style.","Poloshirt, dunkelblau","Klassisches Poloshirt für Herren in modernem Look.
Farbe: dunkelblau mit Akzentfarbe am inneren Kragensteg und grünen Akzenten.
Hochwertiger Logodruck auf der Schulter und am Ärmel.
Material: 97% gekämmte Baumwolle 3% Elasthan, Baby Pique, ca. 250 gr. / m².
Moderner leicht taillierter Schnitt.","Polo pour homme,  bleu foncé","Polo homme classique en version revisitée.
Couleur : bleu foncé avec contraste de vert sur l'intérieur de l'empiècement dos et des touches de vert.
Logo haute qualité imprimé sur l'épaule et la manche.
Matière : 97 % coton peigné, 3 % élasthanne, petit piqué, env. 250 g/m².
Coupe moderne légèrement cintrée.",قطب الرجال ، الأزرق الداكن,"عمود الرجال الكلاسيكي مع نظرة حديثة.
اللون: الأزرق الداكن مع لمسات اللون في القطاع الداخلي من ذوي الياقات البيضاء والظلال الخضراء.
شعار مطبوع عالي الجودة على الكتف والأكمام.
المواد: 97 ٪ مشط القطن ، 3 ٪ Elastan ، Piquet Baby ، حوالي 250 غرام/متر مربع.
قطع حديثة ، sciancrato قليلا.",4014549320099,1,pc,TRUE,0.4746,350,270,20,0.352,22bae36a-5364-11ec-8121-005056b31774_1600_1066.jpg,60b4e1a9-8fee-11ed-8a3b-005056b3ad01_1600_1066.jpg,,,,,XXXL,,,,,,,,4014549320099,BD,,1,1,1,1,,263,263,263,263,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
BASIC,,Festool,,,205198,Main filter for HF-CTH 26/48,"Work cleanly and healthily.

Strengths and benefits:
For dusts hazardous to health of dust class H (mould, asbestos).
Filtration efficiency 99.995%.
High-quality flat fluted filter made of polyester material.

Main areas of use:
For extracting carcinogenic and pathogenic dusts.
Adapted for CTH 26, CTH 48.",Hauptfilter für HF-CTH 26/48,"Sauber und gesundheitsschonend arbeiten.

Stärken und Nutzen:
Für gesundheisgefährdende Stäube der Staubklasse H (Schimmel, Asbest).
Abscheidegrad 99,995%.
Hochwertiger Flachfaltenenfilter aus Polyestermaterial.

Anwendungsschwerpunkte:
Zum Absaugen von krebserregenden und krankeitserregenden Stäuben.
Passend für CTH 26, CTH 48.",Filtre principal pour HF-CTH 26/48,"Travailler dans un environnement propre et sain

Avantages et bénéfices:
Pour les poussières nocives de la catégorie H (moisissures, amiante).
Degré de séparation de 99,995 %.
Filtre plat à plis de grande qualité en matière polyester.

Principales utilisations:
Pour l'aspiration de poussières pathogènes et cancérigènes.
Adapté pour CTH 26, CTH 48.",المرشح الرئيسي لـ HF-CTH 26/48,"العمل في نظيفة وحماية الصحة.

المزايا والفوائد:
لأنواع المسحوق H (العفن ، الأسبستوس) التي تشكل خطورة على الصحة.
درجة الانزلاق من 99.995 ٪.
مرشح مطوي عالية الجودة في مادة البوليستر.

التطبيقات الرئيسية:
لطموح المساحيق المسببة للسرطان والممرض.
مناسبة لـ CTH 26 ، CTH 48.",4014549361818,1,pc,TRUE,0.8249,195,60,280,0.5,13d715ac-9f9b-11ec-8124-005056b31774_1600_1066.jpg,,,,,,,,,,,,,,4014549361818,DE,,1,1,1,1,,220,220,220,220,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
BASIC,,Festool,,,205763,Saw blade for TS 60 K,"Quality cuts better.

Strengths and benefits:
High cutting performance for rip cuts in solid wood.
Saw teeth made of high-quality metal - for optimum saw progress and perfect cuts.
Ideal in combination with the Festool TS 60 K plunge-cut saw - for exact, efficient working.
Cutting angle and tooth shape are adapted to the application and machine.
Colour coding makes it easier to select the correct saw blade.

Main areas of use:
WOOD RIP CUT for rapid working with low application of power, especially for rip cuts in solid wood.
Suitable for hardwood and softwood.
Splitting boards and other solid wood materials.
Furniture manufacture.
Patio construction.
Facade construction.
Adapted for TS 60 K for quicker rip cutting in solid wood with less force.",Kreissägeblatt für TS 60 K,"Qualität schneidet besser ab.

Stärken und Nutzen:
Hohe Schnittleistung beim Vollholz-Längsschnitt.
Sägezähne gefertigt aus hochwertigem Metall - für optimalen Sägefortschritt und perfekte Schnitte.
Ideal in Kombination mit der Festool Tauchsäge TS 60 K - für exaktes, effizientes Arbeiten.
Schnittwinkel und Zahnform auf Anwendung und Maschine abgestimmt.
Farbcodierung erleichtert die Auswahl des richtigen Sägeblatts.

Anwendungsschwerpunkte:
WOOD RIP CUT für schnelles Arbeiten bei wenig Krafteinsatz, speziell beim Vollholz-Längsschnitt.
Geeignet für Hart- und Weichhölzer.
Auftrennen von Brettern sonstigen Vollholz Materialien.
Möbelbau.
Terassenbau.
Fassadenbau.
Passend für TS 60 K für Längsschnitte in Vollholz - schnell mit wenig Kraft.",Lame de scie circulaire pour TS 60 K,"La qualité au service de la coupe

Avantages et bénéfices:
Performances de coupe en longueur élevées dans le bois massif.
Dents de scie fabriquées en métal de grande qualité - pour une progression optimale du sciage et des coupes parfaites.
L'idéal en combinaison avec la scie plongeante Festool TS 60 K, pour travailler avec précision et efficacité.
L'angle de coupe et la forme des dents sont adaptées à l'application et à la machine.
Un code couleur facilite le choix de la lame.

Principales utilisations:
WOOD RIP CUT pour un travail rapide et sans effort, notamment lors des coupes en longueur dans le bois massif.
Pour les bois durs et tendres.
Tronçonnage de planches et autres pièces en bois massif.
Ebénisterie.
Construction de terrasses.
Réalisation de façades.
Adapté pour TS 60 K pour des coupes en long dans le bois plein, rapide avec peu de puissance.",لاما لـ Sega TS 60 K,"مع الجودة يتم قطعها بشكل أفضل.

المزايا والفوائد:
أداء عالي القطع خلال قطع الطولية من الخشب الصلب.
تنتج أسنان لاما في مواد ثمينة ، من أجل التقدم الأمثل SEGA والقطع المثالية.
مثالي مع Festol TS 60 K Sega ، للعمل الدقيق والكفاءة.
تم تصميم زاوية القطع وشكل الأسنان خصيصًا لنوع الاستخدام والآلة.
رمز اللون يسهل اختيار الشفرة اليمنى.

التطبيقات الرئيسية:
قطع مزق الخشب.
للعمل السريع مع قوة محتوية ، وخاصة في حالة قطع طولية في الخشب الصلب.
مناسبة للغابات الصلبة والعطاء.
قطع المحاور وغيرها من المواد الخشبية الصلبة.
بناء الأثاث.
بناء المدرجات.
بناء واجهات.
مناسبة لتخفيضات طولية TS 60 KPER في الخشب الصلب - سريع ، مع جهد أقل.",4014549390368,1,pc,TRUE,0.30962,235,220,15,0.274,"zoom_hks_sb168x1,8x20PW12_205763_z_01a.jpg",1cbb4333-6522-11eb-8113-005056b31774_1600_1066.jpg,,,,,,,,,,,,,4014549390368,FR,,1,1,1,1,TRUE,255,255,255,255,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
BASIC,,Festool,,,205764,Saw blade for TS 60 K,"Quality cuts better.

Strengths and benefits:
Circular saw blade with cross-cut teeth for fast sawing action.
Saw teeth made of high-quality carbide - for optimum sawing action and a good cut quality.
With alternating teeth and a medium chip angle, this saw blade is suitable for both rip cuts and cross cuts.
Colour coding makes it easier to select the correct saw blade.
Ideal in combination with the Festool TS 60 K plunge-cut saw - for exact, efficient working.

Main areas of use:
WOOD UNIVERSAL. For machining solid wood.
For panel cutting in blockboard, plywood, multiplex/multilayered wood, raw chipboard, MDF (medium-density fibreboard) and HDF (high-density fibreboard).
Adapted for TS 60 K for all wooden materials, building panels - medium cut.",Kreissägeblatt für TS 60 K,"Qualität schneidet besser ab.

Stärken und Nutzen:
Wechselzahn Kreissägeblatt für die schnellen Sägefortschritt.
Sägezähne gefertigt aus hochwertigem Hartmetall - für optimalen Sägefortschritt und gute Schnittqualität.
Dank Wechselzahn und mittelstarkem Spanwinkel ist dieses Sägeblatt sowohl für Längs- als auch für Querschnitte geeignet.
Farbcodierung erleichtert die Auswahl des richtigen Sägeblatts.
Ideal in Kombination mit der Festool Tauchsäge TS 60 K - für exaktes, effizientes Arbeiten.

Anwendungsschwerpunkte:
WOOD UNIVERSAL. Zur Bearbeitung von Vollholz.
Plattenzuschnitt von Tischlerplatten, Sperrholz, Multiplex/Lagenholz, Spanplatten roh, MDF Mitteldichte Faserplatten und HDF Hartfaserplatten.
Passend für TS 60 K für alle Holzwerkstoffe, Baustoffplatten - mittlerer Schnitt.",Lame de scie circulaire pour TS 60 K,"La qualité au service de la coupe

Avantages et bénéfices:
Lame de scie circulaire à denture alternée pour une cadence de sciage rapide.
Dents de scie fabriquées en carbure de grande qualité - pour une cadence de sciage optimale et une bonne qualité de coupe.
Grâce à sa denture alternée et à un angle de coupe moyen, cette lame de scie convient aussi bien aux coupes longitudinales que transversales.
Un code couleur facilite le choix de la lame.
L'idéal en combinaison avec la scie plongeante Festool TS 60 K, pour travailler avec précision et efficacité.

Principales utilisations:
WOOD UNIVERSAL. Pour le bois massif.
Pour la découpe des panneaux lattés, de contreplaqué, de bois multiplis/bois stratifié, des panneaux de particules bruts, des panneaux de fibres MDF et des panneaux de fibres dures HDF.
Adapté pour TS 60 K pour tous les matériaux bois, plaques de matériaux de construction : coupe moyenne.",لاما لـ Sega TS 60 K,"مع الجودة يتم قطعها بشكل أفضل.

المزايا والفوائد:
الأسنان المتناوبة من النصل للتقدم السريع للشفرة.
تنتج أسنان لاما في المعدن القاسي الثمين ، للحصول على تقدم SEGA الأمثل وجودة قطع جيدة.
بفضل الأسنان المتناوبة وزاوية تغييرها
أنا ، هذه الشفرة مناسبة لكل من التخفيضات الطولية والمستعرضة.
رمز اللون يسهل اختيار الشفرة اليمنى.
مثالي مع Festol TS 60 K Sega ، للعمل الدقيق والكفاءة.

التطبيقات الرئيسية:
الخشب العالمي.
لمعالجة الخشب الصلبة.
قطع كاليلاري ، الخشب الرقائقي ، الخشب متعدد الإرسال/القشرة ، ألواح الرسم الخام ، ألواح الألياف المتوسطة والعالية الكثافة (MDF و HDF).
مناسبة لـ TS 60 KPER جميع المواد الخشبية ، لوحات البناء - قطع سماكة متوسطة.",4014549390375,1,pc,TRUE,0.339,215,7,235,0.3,"zoom_hks_sb168x1,8x20W28_205764_z_01a.jpg",1cbb4333-6522-11eb-8113-005056b31774_1600_1066.jpg,,,,,,,,,,,,,4014549390375,FR,,1,1,1,1,TRUE,119,119,119,119,STANDARD,STANDARD,STANDARD,STANDARD,STANDARD,https://res.cloudinary.com/saas-ag/raw/upload/v1678979939/powerzone/mixins/powerzone_jsonschema_v1.json
